Source;Target;Type;Weight
1;2;Directed;74
1;3;Directed;61
1;4;Directed;33
1;5;Directed;50
1;6;Directed;40
1;7;Directed;45
1;8;Directed;24
1;9;Directed;99
1;10;Directed;37
1;11;Directed;41
1;12;Directed;36
1;13;Directed;37
1;14;Directed;45
1;15;Directed;42
1;16;Directed;54
1;17;Directed;21
1;18;Directed;9
1;19;Directed;15
1;20;Directed;33
1;21;Directed;53
1;22;Directed;20
1;23;Directed;31
1;24;Directed;9
1;25;Directed;161
1;26;Directed;32
1;27;Directed;11
1;28;Directed;9
1;29;Directed;13
1;30;Directed;33
1;31;Directed;13
1;32;Directed;20
1;33;Directed;19
1;34;Directed;39
1;35;Directed;22
1;36;Directed;10
1;37;Directed;17
1;38;Directed;28
1;39;Directed;43
1;40;Directed;18
1;41;Directed;4
1;42;Directed;12
1;43;Directed;22
1;44;Directed;29
1;45;Directed;50
1;46;Directed;28
1;47;Directed;22
1;48;Directed;14
1;49;Directed;23
1;50;Directed;29
1;51;Directed;39
1;52;Directed;38
1;53;Directed;23
1;54;Directed;61
1;55;Directed;59
1;56;Directed;42
1;57;Directed;16
1;58;Directed;48
1;59;Directed;39
1;60;Directed;27
1;61;Directed;49
1;62;Directed;15
1;70;Directed;54
1;73;Directed;4
1;81;Directed;1
1;85;Directed;23
1;88;Directed;26
1;90;Directed;4
1;91;Directed;1
1;95;Directed;51
1;98;Directed;1
1;100;Directed;1
1;104;Directed;1
1;105;Directed;1
1;108;Directed;10
1;113;Directed;1
1;114;Directed;4
1;115;Directed;5
1;119;Directed;1
1;120;Directed;26
1;121;Directed;18
1;129;Directed;1
1;136;Directed;1
1;139;Directed;1
1;140;Directed;1
1;144;Directed;5
1;149;Directed;1
1;150;Directed;5
1;151;Directed;19
1;153;Directed;8
1;156;Directed;1
1;157;Directed;2
1;159;Directed;3
1;165;Directed;1
1;169;Directed;1
1;176;Directed;1
1;180;Directed;1
1;182;Directed;1
1;188;Directed;1
1;190;Directed;1
1;192;Directed;1
1;215;Directed;1
1;216;Directed;1
1;219;Directed;1
1;226;Directed;1
1;230;Directed;1
1;244;Directed;1
1;248;Directed;1
1;262;Directed;1
1;267;Directed;1
1;272;Directed;1
1;277;Directed;1
1;284;Directed;1
1;285;Directed;1
1;286;Directed;1
1;287;Directed;2
1;293;Directed;1
1;294;Directed;13
1;295;Directed;1
1;297;Directed;2
1;300;Directed;1
1;301;Directed;1
1;302;Directed;1
1;306;Directed;32
1;311;Directed;6
1;318;Directed;9
1;320;Directed;1
1;337;Directed;27
1;338;Directed;20
1;343;Directed;1
1;344;Directed;1
1;345;Directed;10
1;347;Directed;1
1;348;Directed;1
1;349;Directed;1
1;351;Directed;1
1;353;Directed;1
1;358;Directed;1
1;359;Directed;1
1;362;Directed;1
1;363;Directed;9
1;373;Directed;1
1;375;Directed;44
1;377;Directed;21
1;378;Directed;1
1;379;Directed;1
1;396;Directed;5
1;401;Directed;11
1;407;Directed;1
1;408;Directed;3
1;410;Directed;10
1;412;Directed;3
1;414;Directed;1
1;415;Directed;1
1;426;Directed;1
1;427;Directed;22
1;433;Directed;10
1;435;Directed;7
1;436;Directed;20
1;437;Directed;24
1;439;Directed;27
1;440;Directed;1
1;442;Directed;1
1;446;Directed;1
1;447;Directed;1
1;452;Directed;1
1;455;Directed;1
1;458;Directed;1
1;459;Directed;6
1;460;Directed;22
1;463;Directed;7
1;467;Directed;1
1;468;Directed;1
1;469;Directed;1
1;471;Directed;1
1;472;Directed;18
1;475;Directed;1
1;476;Directed;1
1;482;Directed;1
1;486;Directed;1
1;488;Directed;1
1;491;Directed;1
1;501;Directed;1
1;506;Directed;1
1;510;Directed;1
1;511;Directed;1
1;513;Directed;1
1;515;Directed;1
1;517;Directed;1
1;519;Directed;1
1;522;Directed;1
1;524;Directed;1
1;525;Directed;1
1;527;Directed;1
1;534;Directed;20
1;535;Directed;1
1;536;Directed;1
1;540;Directed;1
1;546;Directed;1
1;548;Directed;32
1;550;Directed;1
1;551;Directed;1
1;553;Directed;1
1;554;Directed;5
1;557;Directed;14
1;558;Directed;1
1;567;Directed;1
1;571;Directed;1
1;574;Directed;5
1;575;Directed;52
1;583;Directed;1
1;585;Directed;11
1;592;Directed;1
1;596;Directed;5
1;599;Directed;1
1;600;Directed;1
1;602;Directed;3
1;606;Directed;1
1;607;Directed;1
1;610;Directed;1
1;611;Directed;13
1;612;Directed;1
1;614;Directed;1
1;615;Directed;1
1;616;Directed;1
1;630;Directed;1
1;631;Directed;1
1;633;Directed;1
1;638;Directed;1
1;641;Directed;1
1;645;Directed;1
1;648;Directed;1
1;651;Directed;1
1;653;Directed;1
1;654;Directed;1
1;665;Directed;1
1;667;Directed;1
1;668;Directed;1
1;674;Directed;1
1;675;Directed;1
1;679;Directed;1
1;682;Directed;1
1;685;Directed;1
1;687;Directed;1
1;689;Directed;1
1;693;Directed;1
1;698;Directed;1
1;701;Directed;1
1;702;Directed;1
1;710;Directed;1
1;712;Directed;1
1;713;Directed;1
1;714;Directed;1
1;718;Directed;1
1;720;Directed;4
1;728;Directed;1
1;729;Directed;1
1;730;Directed;1
1;731;Directed;1
1;736;Directed;1
1;738;Directed;1
1;745;Directed;1
1;746;Directed;1
1;749;Directed;1
1;755;Directed;1
1;757;Directed;1
1;761;Directed;1
1;768;Directed;1
1;771;Directed;1
1;772;Directed;1
1;773;Directed;1
1;787;Directed;1
1;791;Directed;1
1;792;Directed;1
1;798;Directed;1
1;800;Directed;1
1;801;Directed;1
1;802;Directed;33
1;806;Directed;1
1;808;Directed;2
1;813;Directed;21
1;823;Directed;1
1;826;Directed;1
1;828;Directed;1
1;840;Directed;1
1;846;Directed;8
1;848;Directed;1
1;849;Directed;1
1;851;Directed;11
1;855;Directed;1
1;860;Directed;3
1;861;Directed;7
1;862;Directed;1
1;866;Directed;1
1;867;Directed;1
1;868;Directed;4
1;873;Directed;21
1;877;Directed;1
1;878;Directed;1
1;879;Directed;1
1;880;Directed;1
1;881;Directed;1
1;882;Directed;18
1;891;Directed;34
1;894;Directed;1
1;911;Directed;1
1;918;Directed;1
1;920;Directed;23
1;926;Directed;21
1;928;Directed;1
1;934;Directed;1
1;940;Directed;1
1;941;Directed;1
1;943;Directed;1
1;945;Directed;1
1;950;Directed;1
1;952;Directed;1
1;958;Directed;1
1;960;Directed;1
1;970;Directed;1
1;971;Directed;1
1;974;Directed;1
1;975;Directed;1
1;979;Directed;1
1;980;Directed;1
1;984;Directed;1
1;986;Directed;1
1;987;Directed;16
1;992;Directed;1
1;993;Directed;1
1;994;Directed;1
1;996;Directed;2
1;999;Directed;1
1;1002;Directed;1
1;1003;Directed;9
1;1004;Directed;2
1;1017;Directed;2
1;1027;Directed;27
1;1030;Directed;1
1;1038;Directed;1
1;1041;Directed;1
1;1046;Directed;3
1;1048;Directed;1
1;1052;Directed;1
1;1054;Directed;1
1;1056;Directed;2
1;1058;Directed;14
1;1065;Directed;1
1;1066;Directed;1
1;1070;Directed;15
1;1072;Directed;2
1;1074;Directed;20
1;1075;Directed;1
1;1081;Directed;12
1;1083;Directed;3
1;1084;Directed;1
1;1092;Directed;20
1;1095;Directed;1
1;1103;Directed;1
1;1107;Directed;1
1;1109;Directed;3
1;1110;Directed;1
2;3;Directed;39
2;4;Directed;16
2;5;Directed;48
2;6;Directed;156
2;7;Directed;25
2;8;Directed;67
2;9;Directed;72
2;10;Directed;20
2;11;Directed;62
2;12;Directed;67
2;13;Directed;49
2;14;Directed;180
2;15;Directed;19
2;16;Directed;53
2;17;Directed;31
2;18;Directed;10
2;19;Directed;41
2;20;Directed;33
2;21;Directed;162
2;22;Directed;11
2;23;Directed;22
2;24;Directed;1
2;25;Directed;50
2;26;Directed;45
2;27;Directed;5
2;28;Directed;6
2;29;Directed;19
2;30;Directed;22
2;31;Directed;6
2;32;Directed;7
2;33;Directed;48
2;34;Directed;34
2;35;Directed;24
2;36;Directed;13
2;37;Directed;27
2;38;Directed;24
2;39;Directed;67
2;40;Directed;23
2;41;Directed;7
2;42;Directed;9
2;43;Directed;35
2;44;Directed;17
2;45;Directed;31
2;46;Directed;27
2;47;Directed;9
2;48;Directed;19
2;49;Directed;14
2;50;Directed;25
2;51;Directed;58
2;52;Directed;52
2;53;Directed;6
2;54;Directed;80
2;55;Directed;55
2;56;Directed;46
2;57;Directed;7
2;58;Directed;56
2;59;Directed;55
2;60;Directed;42
2;61;Directed;33
2;62;Directed;3
2;70;Directed;45
2;73;Directed;1
2;81;Directed;1
2;83;Directed;1
2;85;Directed;3
2;88;Directed;15
2;90;Directed;2
2;95;Directed;39
2;98;Directed;1
2;102;Directed;1
2;105;Directed;1
2;108;Directed;4
2;114;Directed;5
2;115;Directed;1
2;119;Directed;1
2;120;Directed;17
2;121;Directed;9
2;135;Directed;1
2;136;Directed;1
2;139;Directed;1
2;142;Directed;1
2;149;Directed;1
2;150;Directed;4
2;151;Directed;33
2;153;Directed;21
2;157;Directed;15
2;158;Directed;1
2;159;Directed;2
2;160;Directed;1
2;161;Directed;1
2;166;Directed;1
2;176;Directed;1
2;181;Directed;1
2;190;Directed;1
2;192;Directed;1
2;194;Directed;1
2;196;Directed;1
2;199;Directed;1
2;211;Directed;1
2;212;Directed;1
2;213;Directed;1
2;214;Directed;1
2;222;Directed;1
2;225;Directed;1
2;230;Directed;1
2;239;Directed;1
2;262;Directed;1
2;267;Directed;1
2;272;Directed;1
2;278;Directed;1
2;284;Directed;1
2;287;Directed;1
2;290;Directed;1
2;292;Directed;1
2;294;Directed;10
2;297;Directed;1
2;306;Directed;23
2;307;Directed;1
2;309;Directed;1
2;311;Directed;1
2;318;Directed;1
2;321;Directed;1
2;322;Directed;1
2;323;Directed;1
2;325;Directed;1
2;333;Directed;1
2;335;Directed;1
2;336;Directed;1
2;337;Directed;25
2;338;Directed;28
2;344;Directed;1
2;345;Directed;3
2;348;Directed;1
2;351;Directed;1
2;353;Directed;3
2;356;Directed;1
2;358;Directed;1
2;362;Directed;1
2;363;Directed;6
2;365;Directed;1
2;367;Directed;1
2;374;Directed;1
2;375;Directed;15
2;377;Directed;8
2;379;Directed;1
2;381;Directed;1
